num a b c d
513 -0.2136 -0.02377 0.04135 6.104e-05
514 -0.734 -0.174 0.04883 6.104e-05
515 0.2181 -0.1897 0.2874 6.104e-05
516 0.9683 -0.1897 0.0003955 6.104e-05
517 0.6704 0.0 6.7e-05 6.104e-05
518 -0.9097 0.0 0.001579 6.104e-05
519 -0.777 0.0 0.001503 6.104e-05
520 -0.2698 0.0 0.9907 6.104e-05
521 0.8184 0.0 0.01826 6.104e-05
522 0.556 -0.174 0.000554 6.104e-05
523 0.702 -0.3083 0.02896 6.104e-05
524 -0.9146 -0.2056 4.8e-06 6.104e-05
525 -0.7114 0.0 0.516 6.104e-05
526 0.8315 0.0 0.4275 6.104e-05
527 0.4248 0.0 0.952 6.104e-05
528 -0.941 -0.1265 0.00498 6.104e-05
529 0.4458 -0.427 0.1153 6.104e-05
530 0.04443 -0.7983 9.54e-06 6.104e-05
531 0.4863 -1.0 1.454e-05 6.104e-05
532 -0.764 -1.0 0.7 6.104e-05
533 -0.4614 -1.0 0.8496 6.104e-05
534 0.01582 -1.0 0.2827 6.104e-05
535 -0.6597 -1.0 3.856e-05 6.104e-05
536 0.4053 -1.0 0.7812 6.104e-05
537 -0.748 -1.0 0.0001059 6.104e-05
538 0.3208 -1.0 0.876 6.104e-05
539 0.8027 -1.0 0.0 6.104e-05
540 -0.6416 -1.0 1.81e-05 6.104e-05
541 0.6772 -1.0 0.0001366 6.104e-05
542 0.887 -1.0 1.25e-05 6.104e-05
543 -0.6646 -0.917 0.0 6.104e-05
544 -0.3655 0.0 2.4e-06 6.104e-05
545 -0.3054 0.0 6e-08 6.104e-05
546 -0.569 0.0 0.0002701 6.104e-05
547 0.5757 -0.03168 4.15e-05 6.104e-05
548 0.842 -0.506 1e-07 6.104e-05
549 0.7295 -0.996 0.0002947 6.104e-05
550 0.6987 -1.0 0.09174 6.104e-05
551 0.1299 -1.0 0.0 6.104e-05
552 -0.211 -1.0 0.001262 6.104e-05
553 0.8057 -0.8145 0.1492 6.104e-05
554 0.9316 0.0 0.0447 6.104e-05
555 0.885 0.0 9e-07 6.104e-05
556 0.9775 0.0 0.0 6.104e-05
557 0.7725 0.0 0.02574 6.104e-05
558 -0.1775 0.0 0.1527 6.104e-05
559 -0.993 0.1265 0.0 6.104e-05
560 -0.9556 0.2766 0.0001361 6.104e-05
561 -0.76 0.3003 0.0003517 6.104e-05
562 -0.9453 0.0 0.04422 6.104e-05
563 -0.9526 0.0 0.777 6.104e-05
564 -0.1069 0.0 0.1628 6.104e-05
565 -0.292 0.0 0.1998 6.104e-05
566 0.621 0.0 6e-08 6.104e-05
567 -0.4338 0.0 2.724e-05 6.104e-05
568 -0.1793 0.0 0.9937 6.104e-05
569 0.8257 0.2766 3.23e-05 6.104e-05
570 0.971 0.3635 0.0001388 6.104e-05
571 0.873 0.0 1e-07 6.104e-05
572 0.5635 0.0 1.4e-06 6.104e-05
573 0.9927 0.0 9.5e-06 6.104e-05
574 -0.2064 0.0 0.0 6.104e-05
575 -0.0899 0.0 9.5e-07 6.104e-05
576 -0.784 0.1265 0.0001159 6.104e-05
577 -0.7466 0.3162 0.08484 6.104e-05
578 0.0141 0.6245 1.43e-06 6.104e-05
579 0.916 0.648 0.2744 6.104e-05
580 0.9834 0.007904 0.0 6.104e-05
581 0.2878 0.007904 0.00737 6.104e-05
582 -0.8955 0.007904 2.61e-05 6.104e-05
583 -0.9106 0.007904 0.0 6.104e-05
584 -0.0827 0.007904 1.29e-05 6.104e-05
585 0.6255 0.007904 4e-07 6.104e-05
586 -0.9316 0.09485 0.003002 6.104e-05
587 -0.3877 0.0 0.9634 6.104e-05
588 0.669 0.0 1.6e-06 6.104e-05
589 -0.04987 0.0 3.16e-06 6.104e-05
