a b
1565 819.117647058807
2138 146.66666666667143
900 -16.083916083916332
2470 847.154471544706
1721 482.4561403508685
1199 271.23745819397
1799 267.647058823522
641 212.05673758865797
739 -76.02739726027391
1990 323.728813559319
1773 547.8873239436577
834 327.0833333333327
820 -1.7857142857138715
1384 -32.86219081272167
237 53.846153846156966
2207 179.86348122867403
606 49.84709480122733
2417 93.54838709677459
1521 -32.14285714285796
524 230.03300330032704
1410 802.4390243902288
1604 410.7913669064608
392 -23.344947735192466
325 94.34628975265431
1340 -61.3095238095246
143 -68.12749003984118
988 90.47619047619534
2104 711.2094395280151
296 -22.22222222222256
1235 476.77902621722444
475 336.42611683848486
34 2.8938906752405433
2347 4.651162790696862
124 185.19855595668116
1948 253.8961038960922
1880 467.97583081569906
1066 7.011070110702196
2297 8.20895522388177
1561 491.1949685534488
1147 -37.500000000000796
2137 278.5714285714143
1162 -72.1115537848608
899 -51.070336391438104
1706 8.771929824560866
2454 -63.934426229508816
1814 67.85714285714731
675 -30.23255813953568
735 445.1388888888793
848 135.2941176470619
787 150.00000000000497
2008 200.65359477124377
2215 96.42857142857642
1779 75.54858934169233
1386 -28.57142857142936
1440 -31.972789115647043
437 -22.79411764705901
1319 -69.11196911196942
1633 61.8705035971271
228 -72.12543554006989
589 -60.39603960396108
522 104.54545454545953
1530 593.140794223812
981 167.14801444043775
2371 -31.464174454829415
111 -42.37288135593293
320 246.03174603175034
278 -73.24414715719078
2109 -50.6578947368429
179 0.719424460432501
503 411.9453924914567
49 -62.199312714777484
1273 608.7378640776578
2365 650.8650519031039
1861 108.05369127517272
1960 -2.4390243902435493
1059 -83.22147651006662
2126 -82.5783972125431
1589 188.46153846154334
2270 -72.5085910652923
1091 686.3777089783199
1181 472.2891566264967
909 290.8794788273619
2451 594.8529411764573
1679 -38.311688311689096
1832 -23.588039867110314
664 297.8102189780894
717 -69.6969696969701
878 217.7257525083625
1734 43.9688715953341
1987 127.27272727273197
1416 822.807017543842
1352 673.8095238095109
2205 14.982578397214068
811 -72.39263803680993
408 535.4515050167138
211 82.43243243243651
1314 -3.0100334448156003
1623 138.25503355705158
971 -82.7586206896547
535 381.4814814814687
317 191.9708029197134
601 227.8145695364206
2318 798.9169675090158
2058 769.2579505300213
2414 40.468227424752556
1933 22.448979591838622
1523 -70.19867549668909
76 99.32432432432553
145 234.60076045627127
468 141.61073825503382
28 -59.73154362416168
383 -45.28875379939286
1877 712.4999999999835
1278 81.8181818181867
1062 157.7639751552823
2113 172.1088435374195
1539 100.64724919094263
2282 275.3846153846127
1128 -82.30088495575177
1210 -58.4664536741222
2477 111.9205298013292
1812 -42.76094276094354
1681 262.17948717947553
684 -80.64516129032222
944 -48.640483383686565
2181 155.72519083970002
763 -80.51948051948017
1752 485.10638297871037
2017 -20.792079207920953
838 -55.69620253164638
1369 -6.976744186047219
1420 -41.35802469135851
399 87.91946308725304
252 142.64705882353437
525 10.367892976589738
1296 217.8807947019838
2370 860.1593625497895
289 -36.170212765957984
818 -17.763157894737052
987 134.52768729642193
1632 -49.04458598726178
1516 260.8247422680271
2323 287.30158730158973
2096 278.20512820512306
125 -14.383561643836243
35 335.5400696864071
464 272.88135593219124
576 149.24924924925415
1915 631.4814814814702
1972 -74.35897435897442
141 226.5306122448932
1227 184.45747800586932
372 -34.5794392523369
1067 428.5714285714134
2162 227.4647887323997
2249 53.8461538461529
1587 81.53846153846118
1117 -2.9126213592227583
2465 137.78501628664984
650 69.74169741697756
1154 -67.53246753246809
1698 128.295819935695
946 -27.835051546392524
1826 56.58362989324301
729 -21.64179104477689
2026 274.5318352059792
833 80.39215686275
1749 -70.69597069597103
2210 -50.81967213114832
1347 107.40740740741248
1430 218.9964157706107
444 -64.02877697841808
205 421.73913043477097
1016 -32.835820895523185
1303 228.67132867132392
367 277.51004016064724
291 32.57575757576034
561 -22.297297297297856
1610 -63.63636363636443
2346 292.9824561403349
1945 289.51310861421933
97 121.83098591549685
632 36.69064748201744
2373 -59.87654320987734
1509 47.54098360655671
1918 135.9550561797747
477 328.0936454849383
821 -79.47214076246304
2085 194.29429429429973
1249 409.1575091574943
177 38.297872340424505
62 -43.01994301994357
1467 -24.845070422533908] average steps taken 341.0
1054 47.23926380368471
2148 111.35646687697607
2287 -72.02797202797227
1109 649.0636704119778
1538 -45.51282051282131
2464 559.1760299625423
1813 -70.37037037037072
928 -76.0273972602739
1718 -70.2602230483275
662 -45.20547945205559
1152 -1.0600706713778376
746 116.117216117221
1776 -36.395759717314874
2045 702.6755852842689
879 -42.76094276094354
195 -26.35658914728764
2222 46.41744548286974
980 132.8767123287718
1491 592.0152091254628
1348 221.98142414861175
521 427.34374999999517
1976 68.96551724138422
1620 14.695340501793662
397 -70.87378640776727
330 -62.96296296296375
1328 -41.17647058823609
2366 413.07189542482456
92 276.62337662337194
2386 511.88811188810746
595 -49.83277591973298
301 -46.03174603174682
1256 -66.03773584905727
1869 5.0724637681158065
154 289.2857142857038
2102 500.7604562737628
453 30.29315960912237
792 367.85714285713937
20 -54.54545454545541
1434 326.3322884012421
1082 101.64609053498411
1143 -42.23826714801522
2155 43.83561643835549
2290 203.63036303630412
1566 216.12903225806562
2461 195.3736654804319
1684 -59.86622073578674
948 -51.21951219512278
1796 224.59016393442292
751 -42.44604316546842
2027 -41.634241245137
1744 78.98832684825241
1193 1.010101010101704
677 225.87859424920038
835 259.3220338982918
207 -36.84210526315829
2230 744.2028985507139
555 24.000000000002203
1532 299.9999999999958
432 -17.266187050359942
1003 77.63157894737307
1399 8.91089108911
368 164.3678160919563
1973 -71.63120567375914
2364 142.75362318841047
102 -4.929577464789427
304 8.303249097473172
465 6.007067137810104
2429 373.520249221175
1284 421.6138328530162
828 328.5714285714145
2090 258.10810810810415
1634 684.8837209302242
635 -59.50155763239956
1232 39.072847682119836
148 -26.739926739927537
1870 53.846153846158174
15 -65.51724137931103
1464 304.25531914892235
1033 -10.144927536232226
2112 -26.056338028169765
1144 401.7182130584134
2277 95.21912350598109
1572 145.61403508771926
2448 -15.12915129151313
1802 -52.64285714285476] average steps taken 956.0
686 779.8449612403014
936 -4.25531914893606
755 199.2957746478923
1677 -34.4262295081975
2011 239.483394833938
852 700.7117437722281
1168 -25.92592592592654
1770 0.9174311926596191
216 132.08191126280357
513 622.0216606498083
2237 46.75767918089095
73 628.5714285714148
1359 -9.385113268608672
1307 34.387351778655564
788 517.1874999999872
391 -33.797909407666346
999 189.28571428571527
356 13.636363636363143
510 -68.08510638297923
1953 213.33333333333283
1488 299.37106918237816
2430 -63.934426229507814
596 62.60162601626503
257 -9.385113268609027
1640 -43.26241134751855
1865 602.4221453287108
2348 44.04432132964223
2070 -62.5000000000008
57 -73.88059701492541
162 -73.77049180327882
1251 -46.2686567164187
1462 107.48299319728318
1079 99.32432432432938
2174 -35.779816513761986
2242 128.18791946309167
1113 17.824773413898697
1568 278.2894736842124
2478 157.42574257426207
949 193.33333333333846
1820 219.87577639752018
665 -71.73144876325111
841 158.06451612903712
1680 -35.374149659864614
2037 197.10144927536695
707 442.16867469879116
571 431.7460317460205
1209 252.20125786162492
1745 618.954248366
225 -69.07216494845404
2196 469.9658703071607
772 -23.07692307692347
409 136.48648648649046
497 549.6062992125931
94 -75.08896797153028
1019 417.24137931033096
1283 -64.16938110749264
1393 398.42271293374006
1510 -29.104477611941096
1658 151.7241379310389
1938 -66.46341463414652
287 -39.62264150943423
336 -4.615384615384372
590 434.1614906832195
1046 -72.34285714285767] average steps taken 403.0
25 -66.29213483146134
2332 766.0130718954073
2368 6.321839080459023
1279 45.69536423841153
